chapter,paragraph,text_part,content
1.0,67,text_content,"‘Put your right hand in the box,’ she said. "
1.0,68,text_content,"Fear shot through Paul. He started to back away, but the old woman said: ‘Is this how you obey your mother?’ "
1.0,69,text_content,He looked up into bird-bright eyes. 
1.0,70,text_content,"as the blackness closed around his hand, then slick metal against his fingers and a prickling as though his hand were asleep. "
1.0,71,text_content,the side of Paul’s neck. He saw a glint of metal there and started to turn toward it. 
1.0,72,text_content,‘Stop!’ she snapped. 
1.0,73,text_content,‘Using the Voice again!’ He swung his attention back to her face. 
1.0,74,text_content,on its tip. Ah-ah! Don’t pull away or you’ll feel that poison.’ 
1.0,75,text_content,pale gums around silvery metal teeth that flashed as she spoke. 
1.0,76,text_content,and the ones in between. Here’s a new one for you: the gom jabbar. It kills only animals.’ 
1.0,77,text_content,Pride overcame Paul’s fear. ‘You dare suggest a duke’s son is an animal?’ he demanded. 
1.0,78,text_content,drive this needle into your neck before you escape me.’ 
1.0,79,text_content,‘Who are you?’ he whispered. ‘How did you trick my mother into leaving me alone with you? Are you from the Harkonnens?’ 
1.0,80,text_content,away. 
1.0,81,text_content,you die. This is the only rule. Keep your hand in the box and live. Withdraw it and die.’ 
1.0,82,text_content,Paul took a deep breath to still his trembling. ‘If I call out there’ll be servants on you in seconds ‘and you’ll’ die.’ 
1.0,83,text_content,it’s your turn. Be honored. We seldom administer this to men-children.’ 
1.0,84,text_content,Bene Gesserit rite. 
1.0,85,text_content,the fear has gone there will be nothing. Only I will remain.’’ 
1.0,86,text_content,"He felt calmness return, said: ‘Get on with it, old woman.’ "
1.0,87,text_content,takes you. Understand?’ 
1.0,88,text_content,‘What’s in the box?’ 
1.0,89,text_content,‘Pain.’ 
1.0,90,text_content,"He felt increased tingling in his hand, pressed his lips tightly together. ‘How could this be a test?’ he wondered. The tingling became an itch. "
1.0,91,text_content,"would remain in the trap, endure the pain, feigning death that he might kill the trapper and remove a threat to his kind.’ "
1.0,92,text_content,The itch became the faintest burning. ‘Why are you doing this?’ he demanded. 
1.0,93,text_content,‘To determine if you’re human. Be silent.’ 
1.0,94,text_content,"burning hand, but couldn’t move them. "
1.0,95,text_content,"‘It burns,’ he whispered. "
1.0,96,text_content,‘Silence!’ 
1.0,97,text_content,"neck. He sensed that he was breathing in gasps, tried to slow his breaths and couldn’t. "
1.0,98,text_content,Pain! 
1.0,99,text_content,"His world emptied of everything except that hand immersed in agony, the ancient face inches away staring at him. "
1.0,100,text_content,His lips were so dry he had difficulty separating them. 
1.0,101,text_content,‘The burning! The burning!’ 
1.0,102,text_content,bones remained. 
1.0,103,text_content,It stopped! 
1.0,104,text_content,"As though a switch had been turned off, the pain stopped. "
1.0,105,text_content,"Paul felt his right arm trembling, felt sweat bathing his body. "
1.0,106,text_content,it.’ 
1.0,107,text_content,of pain inhibited every movement. Reason told him he would withdraw a blackened stump from that box. 
1.0,108,text_content,‘Do it!’ she snapped. 
1.0,109,text_content,"turned it, flexed the fingers. "
1.0,110,text_content,"secret of this box, though.’ She slipped it into the folds of her gown. "
1.0,111,text_content,‘But the pain—’ he said. 
1.0,112,text_content,"‘Pain,’ she sniffed. ‘A human can override any nerve in the body.’ "
1.0,113,text_content,"palm. He dropped the hand to his side, looked at the old woman. ‘You did that to my mother once?’ "
1.0,114,text_content,‘Ever sift sand through a screen?’ she asked. 
1.0,115,text_content,The tangential slash of her question shocked his mind into a higher awareness: ‘Sand through a screen.’ He nodded. 
1.0,116,text_content,‘We Bene Gesserit sift people to find the humans.’ 
1.0,117,text_content,"He lifted his right hand, willing the memory of the pain. ‘And that’s all there is to it – pain?’ "
1.0,118,text_content,the signs of her teaching in you. Our test is crisis and observation.’ 
1.0,119,text_content,"He heard the confirmation in her voice, said: ‘It’s truth!’ "
1.0,120,text_content,"She stared at him. ‘He senses truth! Could he be the one? Could he truly be the one?’ She extinguished the excitement, reminding herself: ‘‘Hope clouds observation.’’ "
1.0,121,text_content,"‘You know when people believe what they say,’ she said. "
1.0,122,text_content,‘I know it.’ 
1.0,123,text_content,"Haderach. Sit down, little brother, here at my feet.’ "
1.0,124,text_content,‘I prefer to stand.’ 
1.0,125,text_content,‘Your mother sat at my feet once.’ 
1.0,126,text_content,‘I’m not my mother.’ 
1.0,127,text_content,"‘You hate us a little, eh?’ She looked toward the door, called out: ‘Jessica!’ "
1.0,128,text_content,managed a faint smile. 
1.0,129,text_content,"‘Jessica, have you ever stopped hating me?’ the old woman asked. "
1.0,130,text_content,"‘I both love and hate you,’Jessica said. ‘The hate – that’s from pains I must never forget. The love – that’s …’ "
1.0,131,text_content,and mind it that no one interrupts us.’ 
1.0,132,text_content,"Jessica stepped into the room, closed the door and stood with her back to it. ‘My son lives,’ she thought. ‘My son lives and is … human. I knew he was … but … he lives. Now, I can go on living.’ The door felt hard and real against her back. Everything in the room was immediate and pressing against her senses. "
1.0,133,text_content,‘My son lives.’ 
1.0,134,text_content,purpose. He did not know yet what the terrible purpose was. 
1.0,135,text_content,"‘Some day, lad,’ the old woman said, ‘you, too, may have to stand outside a door like that. It takes a measure of doing.’ "
1.0,136,text_content,any question he might ask her would bring an answer that could lift him out of his flesh-world into something greater. 
1.0,137,text_content,‘Why do you test for humans?’ he asked. 
1.0,138,text_content,‘To set you free.’ 
1.0,139,text_content,‘Free?’ 
1.0,140,text_content,men with machines to enslave them.’ 
1.0,141,text_content,"‘“Thou shalt not make a machine in the likeness of a man’s mind,’” Paul quoted. "
1.0,142,text_content,shalt not make a machine to counterfeit a ‘human’ mind.” Have you studied the Mentat in your service?’ 
1.0,143,text_content,‘I’ve studied ‘with’ Thufir Hawat.’ 
1.0,144,text_content,"‘The Great Revolt took away a crutch,’ she said. ‘It forced ‘human’ minds to develop. Schools were started to train ‘human’ talents.’ "
1.0,145,text_content,‘Bene Gesserit schools?’ 
1.0,146,text_content,"we think, emphasizes almost pure mathematics. Bene Gesserit performs another function.’ "
1.0,147,text_content,"‘Politics,’ he said. "
1.0,148,text_content,‘Kull wahad!’ the old woman said. She sent a hard glance at Jessica. 
1.0,149,text_content,"‘I’ve not told him, Your Reverence,’Jessica said. "
1.0,150,text_content,there could be no such continuity without separating human stock from animal stock – for breeding purposes.’ 
1.0,151,text_content,tied to his terrible purpose. 
1.0,152,text_content,He said: ‘But my mother tells me many Bene Gesserit of the schools don’t know their ancestry.’ 
1.0,153,text_content,her stock was acceptable in itself.’ 
1.0,154,text_content,‘Then why couldn’t she know who her parents are?’ 
1.0,155,text_content,trait. We have many reasons.’ 
1.0,156,text_content,"Again, Paul felt the offense against rightness. He said: ‘You take a lot on yourselves.’ "
1.0,157,text_content,"The Reverend Mother stared at him, wondering: ‘Did I hear criticism in his voice?’ ‘We carry a heavy burden,’ she said. "
1.0,158,text_content,"I’m the … Kwisatz Haderach. What’s that, a human gom jabbar?’ "
1.0,159,text_content,"‘Paul,’Jessica said. ‘You mustn’t take that tone with—’ "
1.0,160,text_content,"‘I’ll handle this, Jessica,’ the old woman said. ‘Now, lad, do you know about the Truthsayer drug?’ "
1.0,161,text_content,"‘You take it to improve your ability to detect falsehood,’ he said. ‘My mother’s told me.’ "
1.0,162,text_content,‘Have you ever seen truthtrance?’ 
1.0,163,text_content,He shook his head. ‘No.’ 
1.0,164,text_content,will come one day and find in the gift of the drug his inward eye. He will look where we cannot – into both feminine and masculine pasts.’ 
1.0,165,text_content,‘Your Kwisatz Haderach?’ 
1.0,166,text_content,"‘Yes, the one who can be many places at once: the Kwisatz Haderach. Many men have tried the drug … so many, but none has succeeded.’ "
1.0,167,text_content,"‘They tried and failed, all of them?’ "
1.0,168,text_content,"‘Oh, no.’ She shook her head. ‘They tried and died.’ "
2.0,1,opening_text,without knowing Falsehood. It is the attempt to see the Light without knowing Darkness. It cannot be. 
2.0,2,opening_caption,—from ‘Manual of Muad’Dib’ by the Princess Irulan 
2.0,3,text_content,"filmbooks, tapes and reels. Light glowed in the room from golden balls hanging in mobile suspensor fields. "
2.0,4,text_content,"The other held a slender, short man with effeminate face. "
2.0,5,text_content,Both youth and man stared at the globe and the man half-hidden in shadows spinning it. 
2.0,6,text_content,"all history. And the Duke’s headed into its jaws. Is it not a magnificent thing that I, the Baron Vladimir Harkonnen, do?’ "
2.0,7,text_content,"Assuredly, Baron,’ said the man. His voice came out tenor with a sweet musical quality. "
2.0,8,text_content,insets of finest cloud-milk diamonds. 
2.0,9,text_content,lovely polar caps – so small. Could anyone mistake this place? Arrakis! Truly unique. A superb setting for a unique victory.’ 
2.0,10,text_content,poignant.’ 
2.0,11,text_content,confuse my nephew.’ 
2.0,12,text_content,tapping sounded at the door in the wall behind him. 
2.0,13,text_content,unrolled the cylinder and scanned it. A chuckle sounded from him. Another. 
2.0,14,text_content,‘Well?’ the Baron demanded. 
2.0,15,text_content,"‘The fool answered us, Baron!’ "
2.0,16,text_content,"‘Whenever did an Atreides refuse the opportunity for a gesture?’ the Baron asked. ‘Well, what does he say?’ "
2.0,17,text_content,"‘He’s most uncouth, Baron. Addresses you as “Harkonnen” – no “Sire et Cher Cousin,” no title, nothing.’ "
2.0,18,text_content,"‘It’s a good name,’ the Baron growled, and his voice betrayed his impatience. ‘What does dear Leto say?’ "
2.0,19,text_content,‘He says: “Your offer of a meeting is refused. I have ofttimes met your treachery and this all men know.”’ 
2.0,20,text_content,‘And?’ the Baron asked. 
2.0,21,text_content,"‘Of Arrakis! Oh, my! This is almost too rich!’ "
2.0,22,text_content,"‘Vendetta, heh? And he uses the nice old word so rich in tradition to be sure I know he means it.’ "
2.0,23,text_content,"‘You made the peace gesture,’ Piter said. ‘The forms have been obeyed.’ "
2.0,24,text_content,"eyes, the shaded slits of blue within blue, the eyes without any white in them at all. "
2.0,25,text_content,been more beautiful. It is to see a plan of the most exquisite treachery: to ‘make’ Leto exchange Caladan for Dune – and without alternative because the Emperor orders it. How waggish of you!’ 
2.0,26,text_content,"In a cold voice, the Baron said: ‘You have a flux of the mouth, Piter.’ "
2.0,27,text_content,"‘But I am happy, my Baron. Whereas you … you are touched by jealousy.’ "
2.0,28,text_content,‘Piter!’ 
2.0,29,text_content,"‘Ah-ah, Baron! Is it not regrettable you were unable to devise this delicious scheme by yourself?’ "
2.0,30,text_content,"‘Someday I will have you strangled, Piter.’ "
2.0,31,text_content,"‘Of a certainty, Baron. Enfin! But a kind act is never lost, eh?’ "
2.0,32,text_content,"‘Have you been chewing verite or semuta, Piter?’ "
2.0,33,text_content,"not. True, Baron?’ "
2.0,34,text_content,The Baron continued to stare at Piter. 
2.0,35,text_content,Feyd-Rautha squirmed in his chair. ‘These wrangling fools!’ he thought. ‘My uncle cannot talk to his Mentat without arguing. Do they think I’ve nothing to do except listen to their arguments?’ 
2.0,36,text_content,"‘Feyd,’ the Baron said. ‘I told you to listen and learn when I invited you in here. Are you learning?’ "
2.0,37,text_content,"‘Yes, Uncle.’ The voice was carefully subservient. "
2.0,38,text_content,all the Atreides. But surely Leto will know whose hand directed the pliant doctor … and knowing that will be a terrible thing.’ 
2.0,39,text_content,"of pity, but—’ "
2.0,40,text_content,"I’ll gain a bit more room to maneuver. The necessity is obvious, but I don’t have to like it.’ "
2.0,41,text_content,will send a legion or two of his Sardaukar down here onto Giedi Prime and that’ll be an end to the Baron Vladimir Harkonnen.’ 
2.0,42,text_content,my cities and sack this castle. You’d truly enjoy that.’ 
2.0,43,text_content,‘Does the Baron need to ask?’ Piter whispered. 
2.0,44,text_content,with my promise of the spoils of Arrakis.’ 
2.0,45,text_content,"in the room, and the youth looked up at Piter with a worried frown. "
2.0,46,text_content,"‘Do not toy with Piter, Baron,’ Piter said. ‘You promised me the Lady Jessica. You promised her to me.’ "
2.0,47,text_content,"‘For what, Piter?’ the Baron asked. ‘For pain?’ "
2.0,48,text_content,"Piter stared at him, dragging out the silence. "
2.0,49,text_content,"Feyd-Rautha moved his suspensor chair to one side, said: ‘Uncle, do I have to stay? You said you’d—’ "
2.0,50,text_content,"And he turned his attention back to the Mentat. ‘What of the Dukeling, the child Paul, my dear Piter?’ "
2.0,51,text_content,"‘The trap will bring him to you, Baron,’ Piter muttered. "
2.0,52,text_content,"to the Duke. You were wrong, eh, Mentat?’ "
2.0,53,text_content,wrong. And you know yourself these Bene Gesserit bear mostly daughters. Even the Emperor’s consort has produced only females.’ 
2.0,54,text_content,"‘Uncle,’ said Feyd-Rautha, ‘you said there’d be something important here for me to—’ "
2.0,55,text_content,Have you observed our good Mentat? You should’ve learned something from this exchange.’ 
2.0,56,text_content,"‘But, Uncle—’ "
2.0,57,text_content,"‘A most efficient Mentat, Piter, wouldn’t you say, Feyd?’ "
2.0,58,text_content,"‘Yes, but—’ "
2.0,59,text_content,"Efficient, Piter, ‘but’ he’s still emotional and prone to passionate outbursts. Efficient, Piter, ‘but’ he still can err.’ "
2.0,60,text_content,"Piter spoke in a low, sullen tone: ‘Did you call me in here to impair my efficiency with criticism, Baron?’ "
2.0,61,text_content,"‘Impair your efficiency? You know me better, Piter. I wish only for my nephew to understand the limitations of a Mentat.’ "
2.0,62,text_content,‘Are you already training my replacement?’ Piter demanded. 
2.0,63,text_content,"‘Replace ‘you?’ Why, Piter, where could I find another Mentat with your cunning and venom?’ "
2.0,64,text_content,"‘The same place you found me, Baron.’ "
2.0,65,text_content,"‘Perhaps I should at that,’ the Baron mused. ‘You do seem a bit unstable lately. And the spice you eat!’ "
2.0,66,text_content,"‘Are my pleasures too expensive, Baron? Do you object to them?’ "
2.0,67,text_content,about you.’ 
2.0,68,text_content,"‘Then I’m on display,’ Piter said. ‘Shall I dance? Shall I perform my various functions for the eminent Feyd-Rau—’ "
2.0,69,text_content,"be overlooked. A serious drawback, that. I sometimes think the ancients with their thinking machines had the right idea.’ "
2.0,70,text_content,"‘They were toys compared to me,’ Piter snarled. ‘You yourself, Baron, could outperform those ‘machines.’’ "
2.0,71,text_content,"of our campaign against the House of Atreides. Function as a Mentat for us, if you please.’ "
2.0,72,text_content,"‘Baron, I’ve warned you not to trust one so young with this information. My observations of—’ "
2.0,73,text_content,"‘I’ll be the judge of this,’ the Baron said. ‘I give you an order, Mentat. Perform one of your various functions.’ "
2.0,74,text_content,"Hawat, will have concluded rightly that Arrakeen is easier to defend.’ "
2.0,75,text_content,"‘Listen carefully, Feyd,’ the Baron said. ‘Observe the plans within plans within plans.’ "
2.0,76,text_content,"Feyd-Rautha nodded, thinking: ‘This is more like it. The old monster is letting me in on secret things at last. He must really mean for me to be his heir.’ "
2.0,77,text_content,"Others in like circumstances have become renegade Houses, taking family atomics and shields and fleeing beyond the Imperium.’ "
2.0,78,text_content,"‘The Duke’s too proud a man for that,’ the Baron said. "
2.0,79,text_content,"‘It is a possibility,’ Piter said. ‘The ultimate effect for us would be the same, however.’ "
2.0,80,text_content,"‘No, it would not!’ the Baron growled. ‘I must have him dead and his line ended.’ "
2.0,81,text_content,Duke appears to be doing none of these things.’ 
2.0,82,text_content,"‘So,’ the Baron sighed. ‘Get on with it, Piter.’ "
2.0,83,text_content,"‘At Arrakeen,’ Piter said, ‘the Duke and his family will occupy the Residency, lately the home of Count and Lady Fenring.’ "
2.0,84,text_content,"‘The Ambassador to the Smugglers,’ the Baron chuckled. "
2.0,85,text_content,‘Ambassador to what?’ Feyd-Rautha asked. 
2.0,86,text_content,in smuggling operations on Arrakis.’ 
2.0,87,text_content,Feyd-Rautha turned a puzzled stare on his uncle. ‘Why?’ 
2.0,88,text_content,be otherwise? How else could spies and assassins move about?’ 
2.0,89,text_content,Feyd-Rautha’s mouth made a soundless ‘Oh-h-h-h.’ 
2.0,90,text_content,which could succeed.’ 
2.0,91,text_content,"‘Piter,’ the Baron rumbled, ‘you indicated—’ "
2.0,92,text_content,"‘I indicated accidents can happen,’ Piter said. ‘And the attempt must appear valid.’ "
2.0,93,text_content,"… with that witch mother training him. Accursed woman! Ah, well, please continue, Piter.’ "
2.0,94,text_content,We found the lever that moved the doctor.’ 
2.0,95,text_content,‘How?’ Feyd-Rautha asked. He found this a fascinating subject. ‘Everyone’ knew you couldn’t subvert Imperial Conditioning! 
2.0,96,text_content,"‘Another time,’ the Baron said. ‘Continue, Piter.’ "
2.0,97,text_content,will recommend her to Hawat’s attention.’ 
2.0,98,text_content,‘Her?’ Feyd-Rautha asked. 
2.0,99,text_content,"‘The Lady Jessica herself,’ the Baron said. "
2.0,100,text_content,"He may even try to kill her.’ Piter frowned, then: ‘But I don’t think he’ll be able to carry it off.’ "
2.0,101,text_content,"‘You don’t want him to, eh?’ the Baron asked. "
2.0,102,text_content,"when the moment is ripe, we’ll signal Yueh and move in with our major force … ah …’ "
2.0,103,text_content,"‘Go ahead, tell him all of it,’ the Baron said. "
2.0,104,text_content,‘We’ll move in strengthened by two legions of Sardaukar disguised in Harkonnen livery.’ 
2.0,105,text_content,of the Padishah Emperor. 
2.0,106,text_content,might unite against the Imperial House and there’d be chaos.’ 
2.0,107,text_content,than that of any other House in the Imperium.’ 
2.0,108,text_content,an irrevocable directorship in the CHOAM Company.’ 
2.0,109,text_content,and ‘his’ supporters. 
2.0,110,text_content,may remember him – Kynes.’ 
2.0,111,text_content,"‘Feyd remembers him,’ the Baron said. ‘Get on with it.’ "
2.0,112,text_content,"‘You do not drool very prettily, Baron,’ Piter said. "
2.0,113,text_content,"‘Get on with it, I command you!’ the Baron roared. "
2.0,114,text_content,Your uncle will have dispensation of that fief. His own ‘personal’ agent will rule on Arrakis.’ 
2.0,115,text_content,"‘More profits,’ Feyd-Rautha said. "
2.0,116,text_content,and some tame smugglers bound to the planet almost as tightly as the native labor pool.’ 
2.0,117,text_content,"‘And the Great Houses will know that the Baron has destroyed the Atreides,’ Piter said. ‘They will know.’ "
2.0,118,text_content,"‘They will know,’ the Baron breathed. "
2.0,119,text_content,"‘Loveliest of all,’ Piter said, ‘is that the Duke will know, too. He knows now. He can already feel the trap.’ "
2.0,120,text_content,pity.’ 
2.0,121,text_content,carry no more than fifty of them. 
2.0,122,text_content,"fat-enfolded eyes. ‘Send for food, my darling. We will eat before we retire.’ "
3.0,1,opening_text,"and beauty have gone, she will find that the ‘place-between,’ once occupied by tension, has become a wellspring of cunning and resourcefulness.’ "
3.0,2,opening_caption,"—from ‘Muad’Dib, Family Commentaries’ by the Princess Irulan "
3.0,3,text_content,"‘Well, Jessica, what have you to say for yourself?’ asked the Reverend Mother. "
3.0,4,text_content,Paul waited in the adjoining soundproofed Meditation Chamber. 
3.0,5,text_content,heard and yet did not hear the Reverend Mother’s question. 
3.0,6,text_content,"flexed the fingers, remembering the pain, the terror, the anger. "
3.0,7,text_content,"‘Poor Paul,’ she whispered. "
3.0,8,text_content,"‘I asked you a question, Jessica!’ The old woman’s voice was snappish, demanding. "
3.0,9,text_content,between the two west windows. ‘What do you want me to say?’ 
3.0,10,text_content,‘What do I want you to say? What do I want you to say?’ The old voice carried a tone of cruel mimicry. 
3.0,11,text_content,‘So I had a son!’Jessica flared. And she knew she was being goaded into this anger deliberately. 
3.0,12,text_content,‘You were told to bear only daughters to the Atreides.’ 
3.0,13,text_content,"‘It meant so much to him,’Jessica pleaded. "
3.0,14,text_content,‘And you in your pride thought you could produce the Kwisatz Haderach!’ 
3.0,15,text_content,Jessica lifted her chin. ‘I sensed the possibility.’ 
3.0,16,text_content,bloodlines now.’ 
3.0,17,text_content,"You’re not infallible,’Jessica said. She braved the steady stare from the old eyes. "
3.0,18,text_content,"Presently, the old woman muttered: ‘What’s done is done.’ "
3.0,19,text_content,"‘I vowed never to regret my decision,’Jessica said. "
3.0,20,text_content,man’s hand turned against you to seek your life and the life of your son.’ 
3.0,21,text_content,Jessica paled. ‘Is there no alternative?’ 
3.0,22,text_content,‘Alternative? A Bene Gesserit should ask that?’ 
3.0,23,text_content,‘I ask only what you see in the future with your superior abilities.’ 
3.0,24,text_content,"The Imperium, the CHOAM Company, all the Great Houses, they are but bits of flotsam in the path of the flood.’ "
3.0,25,text_content,"‘CHOAM,’Jessica muttered. ‘I suppose it’s already decided how they’ll redivide the spoils of Arrakis.’ "
3.0,26,text_content,"same profits his voting strength will increase. This is the pattern of history, girl.’ "
3.0,27,text_content,"‘That’s certainly what I need right now,’ Jessica said. ‘A review of history.’ "
3.0,28,text_content,complication of a feudal trade culture which turns its back on most science.’ 
3.0,29,text_content,and this one’s—’ 
3.0,30,text_content,"‘Oh, shut up, girl. You entered this with full knowledge of the delicate edge you walked.’ "
3.0,31,text_content,"‘ “I am Bene Gesserit: I exist only to serve,”’ Jessica quoted. "
3.0,32,text_content,salvage what we can of the key bloodlines.’ 
3.0,33,text_content,"the uneven breathing, the ragged pulse, the sweating of the palms. Presently, she said, ‘I’ll pay for my own mistake.’ "
3.0,34,text_content,‘And your son will pay with you.’ 
3.0,35,text_content,‘I’ll shield him as well as I’m able.’ 
3.0,36,text_content,strong enough to fulfill ‘any’ destiny.’ 
3.0,37,text_content,"Jessica turned away, looked out the window at the gathering darkness. ‘Is it really that terrible, this planet of Arrakis?’ "
3.0,38,text_content,"heaved herself to her feet, straightened a fold in her gown. ‘Call the boy in here. I must be leaving soon.’ "
3.0,39,text_content,‘Must you?’ 
3.0,40,text_content,must make her own path.’ 
3.0,41,text_content,‘I know.’ 
3.0,42,text_content,"‘You’re as dear to me as any of my own daughters, but I cannot let that interfere with duty.’ "
3.0,43,text_content,‘I understand … the necessity.’ 
3.0,44,text_content,will be the Bene Gesserit Totality. You mustn’t let yourself hope too much.’ 
3.0,45,text_content,she said: ‘I’ve been so lonely.’ 
3.0,46,text_content,"frightening day. But he’s had time to think and remember, and I must ask the other questions about these dreams of his.’ "
3.0,47,text_content,"Jessica nodded, went to the door of the Meditation Chamber, opened it. ‘Paul, come in now, please.’ "
3.0,48,text_content,door behind him. 
3.0,49,text_content,"‘Young man,’ the old woman said, ‘let’s return to this dream business.’ "
3.0,50,text_content,‘What do you want?’ he asked. 
3.0,51,text_content,‘Do you dream every night?’ 
3.0,52,text_content,"‘Not dreams worth remembering. I can remember every dream, but some are worth remembering and some aren’t.’ "
3.0,53,text_content,‘How do you know the difference?’ 
3.0,54,text_content,‘I just know it.’ 
3.0,55,text_content,"The old woman glanced at Jessica, back to Paul. ‘What did you dream last night? Was it worth remembering?’ "
3.0,56,text_content,his eyes. 
3.0,57,text_content,"‘And the thing you tell this strange girl about seeing me, did it happen today?’ "
