text_part,text_content
text_content,"He fought down an aching shiver, stared at the lightless void where his hand seemed to remain of its own volition. Memory of pain inhibited every movement. Reason told him he would withdraw a blackened stump from that box. "
text_content,‘Do it!’ she snapped. 
text_content,"He jerked his hand from the box, stared at it astonished. Not a mark. No sign of agony on the flesh. He held up the hand, turned it, flexed the fingers. "
text_content,"‘Pain by nerve induction,’ she said. ‘Can’t go around maiming potential humans. There’re those who’d give a pretty for the secret of this box, though.’ She slipped it into the folds of her gown. "
text_content,‘But the pain—’ he said. 
text_content,"‘Pain,’ she sniffed. ‘A human can override any nerve in the body.’ "
text_content,"Paul felt his left hand aching, uncurled the clenched fingers, looked at four bloody marks where fingernails had bitten his palm. He dropped the hand to his side, looked at the old woman. ‘You did that to my mother once?’ "
text_content,‘Ever sift sand through a screen?’ she asked. 
text_content,The tangential slash of her question shocked his mind into a higher awareness: ‘Sand through a screen.’ He nodded. 
text_content,‘We Bene Gesserit sift people to find the humans.’ 
text_content,"He lifted his right hand, willing the memory of the pain. ‘And that’s all there is to it – pain?’ "
text_content,"‘I observed you in pain, lad. Pain’s merely the axis of the test. Your mother’s told you about our ways of observing. I see the signs of her teaching in you. Our test is crisis and observation.’ "
text_content,"He heard the confirmation in her voice, said: ‘It’s truth!’ "
text_content,"She stared at him. ‘He senses truth! Could he be the one? Could he truly be the one?’ She extinguished the excitement, reminding herself: ‘‘Hope clouds observation.’’ "
text_content,"‘You know when people believe what they say,’ she said. "
text_content,‘I know it.’ 
text_content,"The harmonics of ability confirmed by repeated test were in his voice. She heard them, said: ‘Perhaps you are the Kwisatz Haderach. Sit down, little brother, here at my feet.’ "
text_content,‘I prefer to stand.’ 
text_content,‘Your mother sat at my feet once.’ 
text_content,‘I’m not my mother.’ 
text_content,"‘You hate us a little, eh?’ She looked toward the door, called out: ‘Jessica!’ "
text_content,The door flew open and Jessica stood there staring hard-eyed into the room. Hardness melted from her as she saw Paul. She managed a faint smile. 
text_content,"‘Jessica, have you ever stopped hating me?’ the old woman asked. "
text_content,"‘I both love and hate you,’Jessica said. ‘The hate – that’s from pains I must never forget. The love – that’s …’ "
text_content,"‘Just the basic fact,’ the old woman said, but her voice was gentle. ‘You may come in now, but remain silent. Close the door and mind it that no one interrupts us.’ "
text_content,"Jessica stepped into the room, closed the door and stood with her back to it. ‘My son lives,’ she thought. ‘My son lives and is … human. I knew he was … but … he lives. Now, I can go on living.’ The door felt hard and real against her back. Everything in the room was immediate and pressing against her senses. "
text_content,‘My son lives.’ 
text_content,"Paul looked at his mother. ‘She told the truth.’ He wanted to get away alone and think this experience through, but knew he could not leave until he was dismissed. The old woman had gained a power over him. ‘They spoke truth.’ His mother had undergone this test. There must be terrible purpose in it … the pain and fear had been terrible. He understood terrible purposes. They drove against all odds. They were their own necessity. Paul felt that he had been infected with terrible purpose. He did not know yet what the terrible purpose was. "
text_content,"‘Some day, lad,’ the old woman said, ‘you, too, may have to stand outside a door like that. It takes a measure of doing.’ "
text_content,"Paul looked down at the hand that had known pain, then up to the Reverend Mother. The sound of her voice had contained a difference then from any other voice in his experience. The words were outlined in brilliance. There was an edge to them. He felt that any question he might ask her would bring an answer that could lift him out of his flesh-world into something greater. "
text_content,‘Why do you test for humans?’ he asked. 
text_content,‘To set you free.’ 
text_content,‘Free?’ 
text_content,‘Once men turned their thinking over to machines in the hope that this would set them free. But that only permitted other men with machines to enslave them.’ 
text_content,"‘“Thou shalt not make a machine in the likeness of a man’s mind,’” Paul quoted. "
text_content,"‘Right out of the Butlerian Jihad and the Orange Catholic Bible,’ she said. ‘But what the O.C. Bible should’ve said is: “Thou shalt not make a machine to counterfeit a ‘human’ mind.” Have you studied the Mentat in your service?’ "
text_content,‘I’ve studied ‘with’ Thufir Hawat.’ 
text_content,"‘The Great Revolt took away a crutch,’ she said. ‘It forced ‘human’ minds to develop. Schools were started to train ‘human’ talents.’ "
text_content,‘Bene Gesserit schools?’ 
text_content,"She nodded. ‘We have two chief survivors of those ancient schools: the Bene Gesserit and the Spacing Guild. The Guild, so we think, emphasizes almost pure mathematics. Bene Gesserit performs another function.’ "
text_content,"‘Politics,’ he said. "
text_content,‘Kull wahad!’ the old woman said. She sent a hard glance at Jessica. 
text_content,"‘I’ve not told him, Your Reverence,’Jessica said. "
text_content,"The Reverend Mother returned her attention to Paul. ‘You did that on remarkably few clues,’ she said. ‘Politics indeed. The original Bene Gesserit school was directed by those who saw the need of a thread of continuity in human affairs. They saw there could be no such continuity without separating human stock from animal stock – for breeding purposes.’ "
text_content,"The old woman’s words abruptly lost their special sharpness for Paul. He felt an offense against what his mother called his ‘instinct for rightness.’ It wasn’t that the Reverend Mother lied to him. She obviously believed what she said. It was something deeper, something tied to his terrible purpose. "
text_content,He said: ‘But my mother tells me many Bene Gesserit of the schools don’t know their ancestry.’ 
text_content,"‘The genetic lines are always in our records,’ she said. ‘Your mother knows that either she’s of Bene Gesserit descent or her stock was acceptable in itself.’ "
text_content,‘Then why couldn’t she know who her parents are?’ 
text_content,"‘Some do … Many don’t. We might, for example, have wanted to breed her to a close relative to set up a dominant in some genetic trait. We have many reasons.’ "
text_content,"Again, Paul felt the offense against rightness. He said: ‘You take a lot on yourselves.’ "
text_content,"The Reverend Mother stared at him, wondering: ‘Did I hear criticism in his voice?’ ‘We carry a heavy burden,’ she said. "
text_content,"Paul felt himself coming more and more out of the shock of the test. He leveled a measuring stare at her, said: You say maybe I’m the … Kwisatz Haderach. What’s that, a human gom jabbar?’ "
text_content,"‘Paul,’Jessica said. ‘You mustn’t take that tone with—’ "
text_content,"‘I’ll handle this, Jessica,’ the old woman said. ‘Now, lad, do you know about the Truthsayer drug?’ "
text_content,"‘You take it to improve your ability to detect falsehood,’ he said. ‘My mother’s told me.’ "
text_content,‘Have you ever seen truthtrance?’ 
text_content,He shook his head. ‘No.’ 
text_content,"‘The drug’s dangerous,’ she said, ‘but it gives insight. When a Truthsayer’s gifted by the drug, she can look many places in her memory – in her body’s memory. We look down so many avenues of the past … but only feminine avenues.’ Her voice took on a note of sadness. ‘Yet, there’s a place where no Truthsayer can see. We are repelled by it, terrorized. It is said a man will come one day and find in the gift of the drug his inward eye. He will look where we cannot – into both feminine and masculine pasts.’ "
text_content,‘Your Kwisatz Haderach?’ 
text_content,"‘Yes, the one who can be many places at once: the Kwisatz Haderach. Many men have tried the drug … so many, but none has succeeded.’ "
text_content,"‘They tried and failed, all of them?’ "
text_content,"‘Oh, no.’ She shook her head. ‘They tried and died.’ "
opening_text,"To attempt an understanding of Muad’Dib without understanding his mortal enemies, the Harkonnens, is to attempt seeing Truth without knowing Falsehood. It is the attempt to see the Light without knowing Darkness. It cannot be. "
opening_caption,—from ‘Manual of Muad’Dib’ by the Princess Irulan 
opening_text,"It was a relief globe of a world, partly in shadows, spinning under the impetus of a fat hand that glittered with rings. The globe sat on a freeform stand at one wall of a windowless room whose other walls presented a patchwork of multicolored scrolls, filmbooks, tapes and reels. Light glowed in the room from golden balls hanging in mobile suspensor fields. "
text_content,"An ellipsoid desk with a top of jade-pink petrified elacca wood stood at the center of the room. Veriform suspensor chairs ringed it, two of them occupied. In one sat a dark-haired youth of about sixteen years, round of face and with sullen eyes. The other held a slender, short man with effeminate face. "
text_content,Both youth and man stared at the globe and the man half-hidden in shadows spinning it. 
text_content,"A chuckle sounded beside the globe. A basso voice rumbled out of the chuckle: ‘There it is, Piter – the biggest mantrap in all history. And the Duke’s headed into its jaws. Is it not a magnificent thing that I, the Baron Vladimir Harkonnen, do?’ "
text_content,"Assuredly, Baron,’ said the man. His voice came out tenor with a sweet musical quality. "
text_content,"The fat hand descended onto the globe, stopped the spinning. Now, all eyes in the room could focus on the motionless surface and see that it was the kind of globe made for wealthy collectors or planetary governors of the Empire. It had the stamp of Imperial handicraft about it. Latitude and longitude lines were laid in with hair-fine platinum wire. The polar caps were insets of finest cloud-milk diamonds. "
text_content,"The fat hand moved, tracing details on the surface. ‘I invite you to observe,’ the basso voice rumbled. ‘Observe closely, Piter, and you, too, Feyd-Rautha, my darling: from sixty degrees north to seventy degrees south – these exquisite ripples. Their coloring: does it not remind you of sweet caramels? And nowhere do you see blue of lakes or rivers or seas. And these lovely polar caps – so small. Could anyone mistake this place? Arrakis! Truly unique. A superb setting for a unique victory.’ "
text_content,"A smile touched Piter’s lips. ‘And to think, Baron: the Padishah Emperor believes he’s given the Duke your spice planet. How poignant.’ "
text_content,"‘That’s a nonsensical statement,’ the Baron rumbled. ‘You say this to confuse young Feyd-Rautha, but it is not necessary to confuse my nephew.’ "
text_content,"The sullen-faced youth stirred in his chair, smoothed a wrinkle in the black leotards he wore. He sat upright as a discreet tapping sounded at the door in the wall behind him. "
text_content,"Piter unfolded from his chair, crossed to the door, cracked it wide enough to accept a message cylinder. He closed the door, unrolled the cylinder and scanned it. A chuckle sounded from him. Another. "
text_content,‘Well?’ the Baron demanded. 
text_content,"‘The fool answered us, Baron!’ "
text_content,"‘Whenever did an Atreides refuse the opportunity for a gesture?’ the Baron asked. ‘Well, what does he say?’ "
text_content,"‘He’s most uncouth, Baron. Addresses you as “Harkonnen” – no “Sire et Cher Cousin,” no title, nothing.’ "
text_content,"‘It’s a good name,’ the Baron growled, and his voice betrayed his impatience. ‘What does dear Leto say?’ "
text_content,‘He says: “Your offer of a meeting is refused. I have ofttimes met your treachery and this all men know.”’ 
text_content,‘And?’ the Baron asked. 
text_content,"‘He says: “The art of kanly still has admirers in the Empire.” He signs it: “Duke Leto of Arrakis.’” Piter began to laugh. ‘Of Arrakis! Oh, my! This is almost too rich!’ "
text_content,"‘Be silent, Piter,’ the Baron said, and the laughter stopped as though shut off with a switch. ‘Kanly, is it?’ the Baron asked. ‘Vendetta, heh? And he uses the nice old word so rich in tradition to be sure I know he means it.’ "
text_content,"‘You made the peace gesture,’ Piter said. ‘The forms have been obeyed.’ "
text_content,"‘For a Mentat, you talk too much, Piter,’ the Baron said. And he thought: ‘I must do away with that one soon. He has almost outlived his usefulness.’ The Baron stared across the room at his Mentat assassin, seeing the feature about him that most people noticed first: the eyes, the shaded slits of blue within blue, the eyes without any white in them at all. "
text_content,"A grin flashed across Piter’s face. It was like a mask grimace beneath those eyes like holes. ‘But, Baron! Never has revenge been more beautiful. It is to see a plan of the most exquisite treachery: to ‘make’ Leto exchange Caladan for Dune – and without alternative because the Emperor orders it. How waggish of you!’ "
text_content,"In a cold voice, the Baron said: ‘You have a flux of the mouth, Piter.’ "
text_content,"‘But I am happy, my Baron. Whereas you … you are touched by jealousy.’ "
text_content,‘Piter!’ 
text_content,"‘Ah-ah, Baron! Is it not regrettable you were unable to devise this delicious scheme by yourself?’ "
text_content,"‘Someday I will have you strangled, Piter.’ "
text_content,"‘Of a certainty, Baron. Enfin! But a kind act is never lost, eh?’ "
text_content,"‘Have you been chewing verite or semuta, Piter?’ "
text_content,"‘Truth without fear surprises the Baron,’ Piter said. His face drew down into a caricature of a frowning mask. Ah, hah! But you see, Baron, I know as a Mentat when you will send the executioner. You will hold back just so long as I am useful. To move sooner would be wasteful and I’m yet of much use. I know what it is you learned from that lovely Dune planet – waste not. True, Baron?’ "
text_content,The Baron continued to stare at Piter. 
text_content,Feyd-Rautha squirmed in his chair. ‘These wrangling fools!’ he thought. ‘My uncle cannot talk to his Mentat without arguing. Do they think I’ve nothing to do except listen to their arguments?’ 
text_content,"‘Feyd,’ the Baron said. ‘I told you to listen and learn when I invited you in here. Are you learning?’ "
text_content,"‘Yes, Uncle.’ The voice was carefully subservient. "
text_content,"‘Sometimes I wonder about Piter,’ the Baron said. ‘I cause pain out of necessity, but he … I swear he takes a positive delight in it. For myself, I can feel pity toward the poor Duke Leto. Dr Yueh will move against him soon, and that’ll be the end of all the Atreides. But surely Leto will know whose hand directed the pliant doctor … and knowing that will be a terrible thing.’ "
text_content,"‘Then why haven’t you directed the doctor to slip a kindjal between his ribs quietly and efficiently?’ Piter asked. ‘You talk of pity, but—’ "
text_content,"‘The Duke ‘must know’ when I encompass his doom,’ the Baron said. ‘And the other Great Houses must learn of it. The knowledge will give them pause. I’ll gain a bit more room to maneuver. The necessity is obvious, but I don’t have to like it.’ "
text_content,"‘Room to maneuver,’ Piter sneered. ‘Already you have the Emperor’s eyes on you, Baron. You move too boldly. One day the Emperor will send a legion or two of his Sardaukar down here onto Giedi Prime and that’ll be an end to the Baron Vladimir Harkonnen.’ "
text_content,"‘You’d like to see that, wouldn’t you, Piter?’ the Baron asked. ‘You’d enjoy seeing the Corps of Sardaukar pillage through my cities and sack this castle. You’d truly enjoy that.’ "
text_content,‘Does the Baron need to ask?’ Piter whispered. 
text_content,"‘You should’ve been a Bashar of the Corps,’ the Baron said. ‘You’re too interested in blood and pain. Perhaps I was too quick with my promise of the spoils of Arrakis.’ "
text_content,"Piter took five curiously mincing steps into the room, stopped directly behind Feyd-Rautha. There was a tight air of tension in the room, and the youth looked up at Piter with a worried frown. "
text_content,"‘Do not toy with Piter, Baron,’ Piter said. ‘You promised me the Lady Jessica. You promised her to me.’ "
text_content,"‘For what, Piter?’ the Baron asked. ‘For pain?’ "
text_content,"Piter stared at him, dragging out the silence. "
text_content,"Feyd-Rautha moved his suspensor chair to one side, said: ‘Uncle, do I have to stay? You said you’d—’ "
text_content,"‘My darling Feyd-Rautha grows impatient,’ the Baron said. He moved within the shadows beside the globe. ‘Patience, Feyd.’ And he turned his attention back to the Mentat. ‘What of the Dukeling, the child Paul, my dear Piter?’ "
text_content,"‘The trap will bring him to you, Baron,’ Piter muttered. "
text_content,"‘That’s not my question,’ the Baron said. ‘You’ll recall that you predicted the Bene Gesserit witch would bear a daughter to the Duke. You were wrong, eh, Mentat?’ "
text_content,"‘I’m not often wrong, Baron,’ Piter said, and for the first time there was fear in his voice. ‘Give me that: I’m not often wrong. And you know yourself these Bene Gesserit bear mostly daughters. Even the Emperor’s consort has produced only females.’ "
text_content,"‘Uncle,’ said Feyd-Rautha, ‘you said there’d be something important here for me to—’ "
text_content,"‘Listen to my nephew,’ the Baron said. ‘He aspires to rule my Barony, yet he cannot rule himself.’ The Baron stirred beside the globe, a shadow among shadows. ‘Well then, Feyd-Rautha Harkonnen, I summoned you here hoping to teach you a bit of wisdom. Have you observed our good Mentat? You should’ve learned something from this exchange.’ "
text_content,"‘But, Uncle—’ "
text_content,"‘A most efficient Mentat, Piter, wouldn’t you say, Feyd?’ "
text_content,"‘Yes, but—’ "
